Pizza Hut,"1 UTSA Circle, MS 1.05, San Antonio, TX 78249","Pizza. Wings. All the things! Pizza Hut—for the love of pizza since 1958. No one loves pizza more than Pizza Hut. Located on the second floor of the Business Building, inside the RowdyMart.",Monday-Thursday      10:30AM - 7:00PM |Friday                          10:30AM - 3:00PM |Saturday - Sunday      Closed,pizzahut.jpg
Sushic,"1 UTSA Circle, San Antonio, TX 78249","Located on the first floor of the John Peace Library, Sushic is your go-to spot for fresh sushi rolls, made-to-order poke bowls, potstickers, ramen and more!",Monday-Thursday      10:30AM - 6:00PM |Friday                          10:30AM - 3:00PM |Saturday - Sunday      Closed,sushic.jpg
Einstein Bros. Bagels,"1 UTSA Circle, San Antonio, TX 78249","It starts with bagels, fresh-from-the-oven and ends with total, delicious satisfaction. Discover your next favorite bagels and shmear at Einstein Bros. Bagels located on the first floor of the BSE (Business, Science and Engineering Building).",Monday-Friday      7:00AM - 2:00PM |Friday - Sunday      Closed,einsteinbros.jpg
JPL Starbucks,"1 UTSA Circle, San Antonio, TX 78249","Located on the first floor of the John Peace Library, our full-service Starbucks offers high-quality coffees, hand-crafted espresso drinks, teas, smoothies, and a variety of pastries, pre-packaged snacks, and breakfast sandwiches. With every cup, with every conversation, with every community—Starbucks nurtures the limitless possibilities of human connection. Order ahead on the Grubhub Mobile App or the Starbucks Mobile App.",Monday-Thursday      6:30AM - 10:00PM |Friday                          6:30AM - 7:00PM |Saturday                          10:00AM - 7:00PM|Sunday      12:00PM - 7:00PM,starbucks.jpg
